Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,# name
58,1667420680412,02/11/2022 20:24:40,1667420679879,-4,02/11/2022 16:24:39,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,29,28,2,Gender,buttonB,response_button_text,644.1000000238419,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Charlotte
59,1667420681956,02/11/2022 20:24:41,1667420681443,-4,02/11/2022 16:24:41,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,30,29,1,Race,buttonD,response_button_text,1488.800000011921,null,,Hispanic or Latino,1,0,1,0,null,null,false,,,Trial,,# Lucia
60,1667420682474,02/11/2022 20:24:42,1667420681963,-4,02/11/2022 16:24:41,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,30,29,2,Gender,buttonB,response_button_text,470.19999998807907,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Lucia
61,1667420684219,02/11/2022 20:24:44,1667420683702,-4,02/11/2022 16:24:43,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,31,30,1,Race,buttonB,response_button_text,1670,null,,Black or African American,1,0,1,0,null,null,false,,,Trial,,# Aaliyiah
62,1667420684778,02/11/2022 20:24:44,1667420684256,-4,02/11/2022 16:24:44,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,31,30,2,Gender,buttonB,response_button_text,514.6000000238419,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Aaliyiah
63,1667420718288,02/11/2022 20:25:18,1667420717744,-4,02/11/2022 16:25:17,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,32,31,1,Race,buttonC,response_button_text,33403.30000001192,null,,Chinese American,1,0,1,0,null,null,false,,,Trial,,# Haoyu
64,1667420767709,02/11/2022 20:26:07,1667420767179,-4,02/11/2022 16:26:07,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,32,31,2,Gender,buttonA,response_button_text,49382.80000001192,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Haoyu
65,1667420769225,02/11/2022 20:26:09,1667420768706,-4,02/11/2022 16:26:08,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,33,32,1,Race,buttonB,response_button_text,1434.300000011921,null,,Black or African American,1,0,1,0,null,null,false,,,Trial,,# Jasmine
66,1667420769828,02/11/2022 20:26:09,1667420769312,-4,02/11/2022 16:26:09,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,33,32,2,Gender,buttonB,response_button_text,589.1999999880791,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Jasmine
67,1667420771138,02/11/2022 20:26:11,1667420770610,-4,02/11/2022 16:26:10,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,34,33,1,Race,buttonA,response_button_text,1210.7000000476837,null,,Caucasian or White American,1,0,1,0,null,null,false,,,Trial,,# Olivia
68,1667420771777,02/11/2022 20:26:11,1667420771250,-4,02/11/2022 16:26:11,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,34,33,2,Gender,buttonB,response_button_text,596.3000000119209,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Olivia
69,1667420773826,02/11/2022 20:26:13,1667420773225,-4,02/11/2022 16:26:13,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,35,34,1,Race,buttonD,response_button_text,1897.2000000476837,null,,Hispanic or Latino,1,0,1,0,null,null,false,,,Trial,,# Ricardo
